Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
bh-glx-d01u08,120,D,01,U08,1,7,120D01U08-1-7,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,2,7,120D04U08-2-7,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,8,120D01U08-1-8,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,2,8,120D04U08-2-8,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,11,120D01U08-1-11,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,2,11,120D04U08-2-11,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,12,120D01U08-1-12,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,2,12,120D04U08-2-12,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,3,7,120D01U08-3-7,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,7,120D04U08-4-7,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,3,8,120D01U08-3-8,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,8,120D04U08-4-8,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,3,11,120D01U08-3-11,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,11,120D04U08-4-11,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,3,12,120D01U08-3-12,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,12,120D04U08-4-12,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,7,120D03U08-1-7,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,2,7,120D02U08-2-7,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,8,120D03U08-1-8,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,2,8,120D02U08-2-8,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,11,120D03U08-1-11,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,2,11,120D02U08-2-11,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,12,120D03U08-1-12,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,2,12,120D02U08-2-12,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,3,7,120D03U08-3-7,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,7,120D02U08-4-7,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,3,8,120D03U08-3-8,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,8,120D02U08-4-8,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,3,11,120D03U08-3-11,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,11,120D02U08-4-11,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,3,12,120D03U08-3-12,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,12,120D02U08-4-12,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,1,1,120D01U02-1-1,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,2,1,120D01U08-2-1,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,1,2,120D01U02-1-2,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,2,2,120D01U08-2-2,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,3,1,120D01U02-3-1,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,1,120D01U08-4-1,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,3,2,120D01U02-3-2,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,2,120D01U08-4-2,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,1,1,120D02U08-1-1,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,2,1,120D02U02-2-1,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,1,2,120D02U08-1-2,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,2,2,120D02U02-2-2,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,3,1,120D02U08-3-1,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,4,1,120D02U02-4-1,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,3,2,120D02U08-3-2,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,4,2,120D02U02-4-2,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,3,1,120D01U08-3-1,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,1,120D02U08-4-1,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,3,2,120D01U08-3-2,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,2,120D02U08-4-2,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,1,120D01U08-1-1,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,2,1,120D02U08-2-1,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,2,120D01U08-1-2,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,2,2,120D02U08-2-2,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,1,1,120D02U02-1-1,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,2,1,120D01U02-2-1,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,1,2,120D02U02-1-2,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,2,2,120D01U02-2-2,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,3,1,120D02U02-3-1,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,4,1,120D01U02-4-1,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,3,2,120D02U02-3-2,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,4,2,120D01U02-4-2,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,1,3,120D01U02-1-3,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,3,3,120D01U02-3-3,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,1,4,120D01U02-1-4,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,3,4,120D01U02-3-4,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,1,5,120D01U02-1-5,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,3,5,120D01U02-3-5,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,1,6,120D01U02-1-6,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,3,6,120D01U02-3-6,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,2,3,120D01U02-2-3,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,4,3,120D01U02-4-3,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,2,4,120D01U02-2-4,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,4,4,120D01U02-4-4,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,2,5,120D01U02-2-5,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,4,5,120D01U02-4-5,BH_GALAXY,,
bh-glx-d01u02,120,D,01,U02,2,6,120D01U02-2-6,BH_GALAXY,bh-glx-d01u02,120,D,01,U02,4,6,120D01U02-4-6,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,3,120D01U08-1-3,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,3,3,120D01U08-3-3,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,4,120D01U08-1-4,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,3,4,120D01U08-3-4,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,5,120D01U08-1-5,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,3,5,120D01U08-3-5,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,1,6,120D01U08-1-6,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,3,6,120D01U08-3-6,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,2,3,120D01U08-2-3,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,3,120D01U08-4-3,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,2,4,120D01U08-2-4,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,4,120D01U08-4-4,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,2,5,120D01U08-2-5,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,5,120D01U08-4-5,BH_GALAXY,,
bh-glx-d01u08,120,D,01,U08,2,6,120D01U08-2-6,BH_GALAXY,bh-glx-d01u08,120,D,01,U08,4,6,120D01U08-4-6,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,1,3,120D02U02-1-3,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,3,3,120D02U02-3-3,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,1,4,120D02U02-1-4,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,3,4,120D02U02-3-4,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,1,5,120D02U02-1-5,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,3,5,120D02U02-3-5,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,1,6,120D02U02-1-6,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,3,6,120D02U02-3-6,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,2,3,120D02U02-2-3,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,4,3,120D02U02-4-3,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,2,4,120D02U02-2-4,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,4,4,120D02U02-4-4,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,2,5,120D02U02-2-5,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,4,5,120D02U02-4-5,BH_GALAXY,,
bh-glx-d02u02,120,D,02,U02,2,6,120D02U02-2-6,BH_GALAXY,bh-glx-d02u02,120,D,02,U02,4,6,120D02U02-4-6,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,1,3,120D02U08-1-3,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,3,3,120D02U08-3-3,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,1,4,120D02U08-1-4,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,3,4,120D02U08-3-4,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,1,5,120D02U08-1-5,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,3,5,120D02U08-3-5,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,1,6,120D02U08-1-6,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,3,6,120D02U08-3-6,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,2,3,120D02U08-2-3,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,3,120D02U08-4-3,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,2,4,120D02U08-2-4,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,4,120D02U08-4-4,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,2,5,120D02U08-2-5,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,5,120D02U08-4-5,BH_GALAXY,,
bh-glx-d02u08,120,D,02,U08,2,6,120D02U08-2-6,BH_GALAXY,bh-glx-d02u08,120,D,02,U08,4,6,120D02U08-4-6,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,1,1,120D03U02-1-1,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,2,1,120D03U08-2-1,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,1,2,120D03U02-1-2,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,2,2,120D03U08-2-2,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,3,1,120D03U02-3-1,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,4,1,120D03U08-4-1,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,3,2,120D03U02-3-2,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,4,2,120D03U08-4-2,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,1,1,120D04U08-1-1,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,2,1,120D04U02-2-1,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,1,2,120D04U08-1-2,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,2,2,120D04U02-2-2,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,3,1,120D04U08-3-1,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,4,1,120D04U02-4-1,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,3,2,120D04U08-3-2,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,4,2,120D04U02-4-2,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,3,1,120D03U08-3-1,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,1,120D04U08-4-1,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,3,2,120D03U08-3-2,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,2,120D04U08-4-2,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,1,120D03U08-1-1,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,2,1,120D04U08-2-1,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,2,120D03U08-1-2,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,2,2,120D04U08-2-2,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,1,1,120D04U02-1-1,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,2,1,120D03U02-2-1,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,1,2,120D04U02-1-2,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,2,2,120D03U02-2-2,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,3,1,120D04U02-3-1,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,4,1,120D03U02-4-1,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,3,2,120D04U02-3-2,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,4,2,120D03U02-4-2,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,1,3,120D03U02-1-3,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,3,3,120D03U02-3-3,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,1,4,120D03U02-1-4,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,3,4,120D03U02-3-4,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,1,5,120D03U02-1-5,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,3,5,120D03U02-3-5,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,1,6,120D03U02-1-6,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,3,6,120D03U02-3-6,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,2,3,120D03U02-2-3,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,4,3,120D03U02-4-3,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,2,4,120D03U02-2-4,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,4,4,120D03U02-4-4,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,2,5,120D03U02-2-5,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,4,5,120D03U02-4-5,BH_GALAXY,,
bh-glx-d03u02,120,D,03,U02,2,6,120D03U02-2-6,BH_GALAXY,bh-glx-d03u02,120,D,03,U02,4,6,120D03U02-4-6,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,3,120D03U08-1-3,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,3,3,120D03U08-3-3,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,4,120D03U08-1-4,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,3,4,120D03U08-3-4,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,5,120D03U08-1-5,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,3,5,120D03U08-3-5,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,1,6,120D03U08-1-6,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,3,6,120D03U08-3-6,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,2,3,120D03U08-2-3,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,4,3,120D03U08-4-3,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,2,4,120D03U08-2-4,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,4,4,120D03U08-4-4,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,2,5,120D03U08-2-5,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,4,5,120D03U08-4-5,BH_GALAXY,,
bh-glx-d03u08,120,D,03,U08,2,6,120D03U08-2-6,BH_GALAXY,bh-glx-d03u08,120,D,03,U08,4,6,120D03U08-4-6,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,1,3,120D04U02-1-3,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,3,3,120D04U02-3-3,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,1,4,120D04U02-1-4,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,3,4,120D04U02-3-4,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,1,5,120D04U02-1-5,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,3,5,120D04U02-3-5,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,1,6,120D04U02-1-6,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,3,6,120D04U02-3-6,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,2,3,120D04U02-2-3,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,4,3,120D04U02-4-3,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,2,4,120D04U02-2-4,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,4,4,120D04U02-4-4,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,2,5,120D04U02-2-5,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,4,5,120D04U02-4-5,BH_GALAXY,,
bh-glx-d04u02,120,D,04,U02,2,6,120D04U02-2-6,BH_GALAXY,bh-glx-d04u02,120,D,04,U02,4,6,120D04U02-4-6,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,1,3,120D04U08-1-3,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,3,3,120D04U08-3-3,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,1,4,120D04U08-1-4,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,3,4,120D04U08-3-4,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,1,5,120D04U08-1-5,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,3,5,120D04U08-3-5,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,1,6,120D04U08-1-6,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,3,6,120D04U08-3-6,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,2,3,120D04U08-2-3,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,3,120D04U08-4-3,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,2,4,120D04U08-2-4,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,4,120D04U08-4-4,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,2,5,120D04U08-2-5,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,5,120D04U08-4-5,BH_GALAXY,,
bh-glx-d04u08,120,D,04,U08,2,6,120D04U08-2-6,BH_GALAXY,bh-glx-d04u08,120,D,04,U08,4,6,120D04U08-4-6,BH_GALAXY,,
